target_index,pkb_id,length,original_target,recolored_target,g_big_dotbracket,g_small_dotbracket,target_pair_count,g_big_pair_count,g_small_pair_count
38,PKB00067,30,(((((..[[[.[[))))).......]]]]],(((((..[[[.[[))))).......]]]]],(((((........)))))............,.......[[[.[[............]]]]],10,5,5
39,PKB00068,68,(((.(((....((((.[[[[[[[..........)))).....))).)))............]]]]]]],(((.(((....((((.[[[[[[[..........)))).....))).)))............]]]]]]],(((.(((....((((..................)))).....))).)))...................,................[[[[[[[......................................]]]]]]],17,10,7
40,PKB00069,61,(((((((((........................[[[[[[[))))))).))...]]].]]]],(((((((((........................[[[[[[[))))))).))...]]].]]]],(((((((((...............................))))))).))...........,.................................[[[[[[[.............]]].]]]],16,9,7
41,PKB00070,55,((((((..((.(((.[[[.[[[))).))..))))))...........]]]..]]],((((((..((.(((.[[[.[[[))).))..))))))...........]]]..]]],((((((..((.(((........))).))..))))))...................,...............[[[.[[[.........................]]]..]]],17,11,6
42,PKB00072,67,((((.((((((.[[[[[[[))))))))))...............................]]]]]]],((((.((((((.[[[[[[[))))))))))...............................]]]]]]],((((.((((((........))))))))))......................................,............[[[[[[[.........................................]]]]]]],17,10,7
43,PKB00073,33,.(((((.[[[[[[[))))).......]]]]]]],.[[[[[.(((((((]]]]].......))))))),.......(((((((............))))))),.[[[[[........]]]]]..............,12,7,5
44,PKB00074,28,((((.[[[[[[[)))).....]]]]]]],[[[[.(((((((]]]].....))))))),.....(((((((.........))))))),[[[[........]]]]............,11,7,4
45,PKB00076,89,(((((((........[[[[(((.......))))))))))...(((((((....((((....))))..)))))))......]]]].....,(((((((........[[[[(((.......))))))))))...(((((((....((((....))))..)))))))......]]]].....,(((((((............(((.......))))))))))...(((((((....((((....))))..)))))))...............,...............[[[[.............................................................]]]].....,25,21,4
46,PKB00078,62,...........((((((((.[[[[[[[)))).))))..................]]]]]]].,...........((((((((.[[[[[[[)))).))))..................]]]]]]].,...........((((((((........)))).))))..........................,....................[[[[[[[...........................]]]]]]].,15,8,7
47,PKB00079,61,...........((((((((..[[[[[[[)))))))).................]]]]]]].,...........((((((((..[[[[[[[)))))))).................]]]]]]].,...........((((((((.........)))))))).........................,.....................[[[[[[[.........................]]]]]]].,15,8,7
48,PKB00080,49,..............(((((.[[[[[[[.)))))........]]]]]]].,..............[[[[[.(((((((.]]]]]........))))))).,....................(((((((..............))))))).,..............[[[[[.........]]]]]................,12,7,5
49,PKB00081,26,(((....[[[[[)))......]]]]],[[[....(((((]]]......))))),.......(((((.........))))),[[[.........]]]...........,8,5,3
50,PKB00082,26,..(((...[[[[)))......]]]].,..[[[...((((]]]......)))).,........((((.........)))).,..[[[.......]]]...........,7,4,3
51,PKB00083,24,.(((.[[[[[[)))...]]]]]].,.[[[.((((((]]]...)))))).,.....((((((......)))))).,.[[[.......]]]..........,9,6,3
52,PKB00084,32,.((((.....[[[[[))))......].]]]].,.[[[[.....(((((]]]]......).)))).,..........(((((..........).)))).,.[[[[..........]]]].............,9,5,4
53,PKB00085,24,.(((..[[[[[[)))..]]]]]].,.[[[..((((((]]]..)))))).,......((((((.....)))))).,.[[[........]]].........,9,6,3
54,PKB00086,22,..((.[[[[[))....]]]]].,..[[.(((((]]....))))).,.....(((((......))))).,..[[......]]..........,7,5,2
55,PKB00088,62,...........((((((((...[[[[[[)))).))))..................]]]]]].,...........((((((((...[[[[[[)))).))))..................]]]]]].,...........((((((((.........)))).)))).........................,......................[[[[[[...........................]]]]]].,14,8,6
56,PKB00089,33,.((((((((..[[[[)))))))).....]]]].,.((((((((..[[[[)))))))).....]]]].,.((((((((......))))))))..........,...........[[[[.............]]]].,12,8,4
57,PKB00091,33,.((((.....[[[[[))))......].]]]]..,.[[[[.....(((((]]]]......).))))..,..........(((((..........).))))..,.[[[[..........]]]]..............,9,5,4
58,PKB00092,27,.(((((.[[[[[)))))....]]]]].,.(((((.[[[[[)))))....]]]]].,.(((((......)))))..........,.......[[[[[.........]]]]].,10,5,5
59,PKB00094,33,.((((.....[[[[.))))........]]]]..,.((((.....[[[[.))))........]]]]..,.((((..........))))..............,..........[[[[.............]]]]..,8,4,4
60,PKB00095,23,.(((.[[[[)))......]]]].,.[[[.((((]]]......)))).,.....((((.........)))).,.[[[.....]]]...........,7,4,3
61,PKB00098,62,...........((((((.((.[[[[[[[))))))))..................]]]]]]].,...........((((((.((.[[[[[[[))))))))..................]]]]]]].,...........((((((.((........))))))))..........................,.....................[[[[[[[..........................]]]]]]].,15,8,7
62,PKB00099,63,...........((((((((.[[[[[[[)))).))))..................]]]]]]]..,...........((((((((.[[[[[[[)))).))))..................]]]]]]]..,...........((((((((........)))).))))...........................,....................[[[[[[[...........................]]]]]]]..,15,8,7
63,PKB00100,31,.((((((..[[[[[[))))))...]]]]]].,.((((((..[[[[[[))))))...]]]]]].,.((((((........))))))..........,.........[[[[[[.........]]]]]].,12,6,6
64,PKB00101,26,.((((.[[[[[[))))...]]]]]].,.[[[[.((((((]]]]...)))))).,......((((((.......)))))).,.[[[[.......]]]]..........,10,6,4
65,PKB00102,24,.((((.[[[[)))).....]]]].,.((((.[[[[)))).....]]]].,.((((.....))))..........,......[[[[.........]]]].,8,4,4
66,PKB00103,25,.(((.[[[[)))........]]]].,.[[[.((((]]]........)))).,.....((((...........)))).,.[[[.....]]].............,7,4,3
67,PKB00104,26,.(((.[[[[[[.)))....]]]]]].,.[[[.((((((.]]]....)))))).,.....((((((........)))))).,.[[[........]]]...........,9,6,3
68,PKB00107,52,..............((((((.[[[[[[))))))............]]]]]].,..............((((((.[[[[[[))))))............]]]]]].,..............((((((.......))))))...................,.....................[[[[[[..................]]]]]].,12,6,6
69,PKB00108,35,...((((...[[[[.[[[))))....]]].]]]].,...[[[[...((((.(((]]]]....))).)))).,..........((((.(((........))).)))).,...[[[[...........]]]].............,11,7,4
70,PKB00110,33,.((((....[[[[[[))))......].]]]]].,.[[[[....((((((]]]]......).))))).,.........((((((..........).))))).,.[[[[..........]]]]..............,10,6,4
71,PKB00120,36,.((((((.[[[[[[)))))).........]]]]]].,.((((((.[[[[[[)))))).........]]]]]].,.((((((.......))))))................,........[[[[[[...............]]]]]].,12,6,6
72,PKB00121,26,.(((..[[[[[)))......]]]]].,.[[[..(((((]]]......))))).,......(((((.........))))).,.[[[.......]]]............,8,5,3
73,PKB00122,31,.(((((...[[[[[[[)))))..]]]]]]].,.[[[[[...(((((((]]]]]..))))))).,.........(((((((.......))))))).,.[[[[[..........]]]]]..........,12,7,5
74,PKB00123,26,.((((..[[[[[[))))..]]]]]].,.[[[[..((((((]]]]..)))))).,.......((((((......)))))).,.[[[[........]]]].........,10,6,4
75,PKB00124,29,.(((.[[[[[[[)))......]]]]]]].,.[[[.(((((((]]]......))))))).,.....(((((((.........))))))).,.[[[........]]]..............,10,7,3
76,PKB00125,25,.(((..[[[[[[)))...]]]]]].,.[[[..((((((]]]...)))))).,......((((((......)))))).,.[[[........]]]..........,9,6,3
77,PKB00126,27,..(((..[[[[[[)))....]]]]]].,..[[[..((((((]]]....)))))).,.......((((((.......)))))).,..[[[........]]]...........,9,6,3
78,PKB00131,48,(((((..[[[[[[))))).....((((((......)))))).]]]]]],[[[[[..((((((]]]]].....((((((......)))))).)))))),.......((((((..........((((((......)))))).)))))),[[[[[........]]]]]..............................,17,12,5
79,PKB00132,49,(((((..[[[[[))))).....(((((((.......))))))).]]]]],(((((..[[[[[))))).....(((((((.......))))))).]]]]],(((((.......))))).....(((((((.......)))))))......,.......[[[[[................................]]]]],17,12,5
80,PKB00138,96,.((((((((..((((((..[[[[[.))))))....((((((.....)))))))))))))).((((((.....)))))).........]]]]]....,.((((((((..((((((..[[[[[.))))))....((((((.....)))))))))))))).((((((.....)))))).........]]]]]....,.((((((((..((((((........))))))....((((((.....)))))))))))))).((((((.....))))))..................,...................[[[[[...............................................................]]]]]....,31,26,5
81,PKB00139,70,..((((((.....[[[((((.....((((((((.....)))))))))))))))))).........]]]..,..((((((.....[[[((((.....((((((((.....)))))))))))))))))).........]]]..,..((((((........((((.....((((((((.....))))))))))))))))))..............,.............[[[.................................................]]]..,21,18,3
82,PKB00140,69,.((((((((....[[[[((((((.((..(((.....))).)).)))))))))))))).......]]]].,.((((((((....[[[[((((((.((..(((.....))).)).)))))))))))))).......]]]].,.((((((((........((((((.((..(((.....))).)).))))))))))))))............,.............[[[[...............................................]]]].,23,19,4
83,PKB00141,70,.(((((((((....[[[.(((((...((((.....))))....)))))))))))))).........]]].,.(((((((((....[[[.(((((...((((.....))))....)))))))))))))).........]]].,.(((((((((........(((((...((((.....))))....)))))))))))))).............,..............[[[.................................................]]].,21,18,3
84,PKB00142,71,.(((((((....[[[[[((((((...(((.(((.....))).)))))))))))))))).......]]]]].,.(((((((....[[[[[((((((...(((.(((.....))).)))))))))))))))).......]]]]].,.(((((((.........((((((...(((.(((.....))).)))))))))))))))).............,............[[[[[................................................]]]]].,24,19,5
85,PKB00143,71,.(((((((....[[[[[(((....(((((((((.....)))))))))))))))))))........]]]]].,.(((((((....[[[[[(((....(((((((((.....)))))))))))))))))))........]]]]].,.(((((((.........(((....(((((((((.....)))))))))))))))))))..............,............[[[[[................................................]]]]].,24,19,5
86,PKB00144,71,.((((((((....[[[[((((.....((((((((.....)))))))))))))))))))).......]]]].,.((((((((....[[[[((((.....((((((((.....)))))))))))))))))))).......]]]].,.((((((((........((((.....((((((((.....))))))))))))))))))))............,.............[[[[.................................................]]]].,24,20,4
87,PKB00145,58,.(((((..[[[[[[(((((((.........)))))))))))).........]]]]]].,.[[[[[..(((((((((((((.........)))))))]]]]].........)))))).,........(((((((((((((.........)))))))..............)))))).,.[[[[[...............................]]]]]................,18,13,5
88,PKB00146,50,.(((((...[[[[[((.(((...))))))))))...........]]]]].,.(((((...[[[[[((.(((...))))))))))...........]]]]].,.(((((........((.(((...)))))))))).................,.........[[[[[..............................]]]]].,15,10,5
89,PKB00147,51,.((((((((((...[[..[[[[[[)))))))))).......]]]]]].]].,.((((((((((...[[..[[[[[[)))))))))).......]]]]]].]].,.((((((((((.............)))))))))).................,..............[[..[[[[[[.................]]]]]].]].,18,10,8
90,PKB00151,32,.((((....[[[[[[[))))...]]]]]]]..,.[[[[....(((((((]]]]...)))))))..,.........(((((((.......)))))))..,.[[[[...........]]]]............,11,7,4
91,PKB00152,26,.(((.[[[[[[[)))...]]]]]]].,.[[[.(((((((]]]...))))))).,.....(((((((......))))))).,.[[[........]]]...........,10,7,3
92,PKB00154,26,.(((((.[[[[[)))))..]]]]]..,.(((((.[[[[[)))))..]]]]]..,.(((((......))))).........,.......[[[[[.......]]]]]..,10,5,5
93,PKB00155,21,.(((.[[[[[)))..]]]]].,.[[[.(((((]]]..))))).,.....(((((.....))))).,.[[[......]]]........,8,5,3
94,PKB00157,26,.(((...[[[[[[)))...]]]]]].,.[[[...((((((]]]...)))))).,.......((((((......)))))).,.[[[.........]]]..........,9,6,3
95,PKB00158,28,.((((.....[[[[[))))...]]]]].,.[[[[.....(((((]]]]...))))).,..........(((((.......))))).,.[[[[..........]]]].........,9,5,4
96,PKB00159,25,.(((.[[[[[.)))....].]]]].,.[[[.(((((.]]]....).)))).,.....(((((........).)))).,.[[[.......]]]...........,8,5,3
97,PKB00160,32,.(((((...[[[[[))))).......]]]]].,.(((((...[[[[[))))).......]]]]].,.(((((........))))).............,.........[[[[[............]]]]].,10,5,5
98,PKB00162,35,.((((((.[[[[[))))))..........]]]]].,.((((((.[[[[[))))))..........]]]]].,.((((((......))))))................,........[[[[[................]]]]].,11,6,5
99,PKB00163,47,(((.((((((.[[[[.)))))).....((((.]]]]...))))))).,(((.((((((.[[[[.)))))).....((((.]]]]...))))))).,(((.((((((......)))))).....((((........))))))).,...........[[[[.................]]]]...........,17,13,4
100,PKB00164,96,.((((((((..((((((..[[[[[.))))))....((((((......)))))))))))))).((((((.....))))))........]]]]]....,.((((((((..((((((..[[[[[.))))))....((((((......)))))))))))))).((((((.....))))))........]]]]]....,.((((((((..((((((........))))))....((((((......)))))))))))))).((((((.....)))))).................,...................[[[[[...............................................................]]]]]....,31,26,5
101,PKB00165,23,.(((.[[[[[)))....]]]]].,.[[[.(((((]]]....))))).,.....(((((.......))))).,.[[[......]]]..........,8,5,3
102,PKB00167,35,.((((..[[[[[[[[))))......].]]]]]]].,.[[[[..((((((((]]]]......).))))))).,.......((((((((..........).))))))).,.[[[[..........]]]]................,12,8,4
103,PKB00169,73,.((((((((((((.[[[[[[.........)))))))))))).....((.(((((.]]]]]]))))).))....,.((((((((((((.[[[[[[.........)))))))))))).....((.(((((.]]]]]]))))).))....,.((((((((((((................)))))))))))).....((.(((((.......))))).))....,..............[[[[[[...................................]]]]]]............,25,19,6
104,PKB00172,39,.((((((.........[[[[[[))))))...]]]]]]..,.((((((.........[[[[[[))))))...]]]]]]..,.((((((...............))))))...........,................[[[[[[.........]]]]]]..,12,6,6
105,PKB00173,73,((((.[[[[[..))))........(((((]]]]]((((....((((....)))).))))........))))).,((((.[[[[[..))))........(((((]]]]]((((....((((....)))).))))........))))).,((((........))))........(((((.....((((....((((....)))).))))........))))).,.....[[[[[...................]]]]].......................................,22,17,5
106,PKB00175,57,..((((.[[[[[[[))))...............................]]]]]]].,..[[[[.(((((((]]]]...............................))))))).,.......(((((((...................................))))))).,..[[[[........]]]].......................................,11,7,4
107,PKB00176,33,..(((((..[[[[[[)))))......]]]]]].,..[[[[[..((((((]]]]]......)))))).,.........((((((...........)))))).,..[[[[[........]]]]].............,11,6,5
108,PKB00177,70,............(((((.((((((......[[[[[[.)))))).)))))..........]]]]]].....,............(((((.((((((......[[[[[[.)))))).)))))..........]]]]]].....,............(((((.((((((.............)))))).))))).....................,..............................[[[[[[.......................]]]]]].....,17,11,6
109,PKB00183,27,.(((.[[[[[[[)))....]]]]]]].,.[[[.(((((((]]]....))))))).,.....(((((((.......))))))).,.[[[........]]]............,10,7,3
110,PKB00184,31,.(((((.[[[[[[)))))......]]]]]].,.[[[[[.((((((]]]]]......)))))).,.......((((((...........)))))).,.[[[[[.......]]]]].............,11,6,5
111,PKB00186,29,.(((((.[[[[[..)))))....]]]]].,.(((((.[[[[[..)))))....]]]]].,.(((((........)))))..........,.......[[[[[...........]]]]].,10,5,5
112,PKB00187,27,.((((...[[[[))))......]]]].,.((((...[[[[))))......]]]].,.((((.......))))...........,........[[[[..........]]]].,8,4,4
113,PKB00188,23,.(((..[[[[[)))...]]]]].,.[[[..(((((]]]...))))).,......(((((......))))).,.[[[.......]]].........,8,5,3
114,PKB00189,28,.((((.[[[[[[[))))...]]]]]]].,.[[[[.(((((((]]]]...))))))).,......(((((((.......))))))).,.[[[[........]]]]...........,11,7,4
115,PKB00190,47,.((((...(((((.[[[[[)))))..)))).........]]]]]...,.((((...(((((.[[[[[)))))..)))).........]]]]]...,.((((...(((((......)))))..)))).................,..............[[[[[....................]]]]]...,14,9,5
116,PKB00194,28,..(((.[[[[[[[)))....]]]]]]].,..[[[.(((((((]]]....))))))).,......(((((((.......))))))).,..[[[........]]]............,10,7,3
117,PKB00197,29,..((((.[[[[[..)))).....]]]]].,..[[[[.(((((..]]]].....))))).,.......(((((...........))))).,..[[[[........]]]]...........,9,5,4
118,PKB00198,32,.((((..[[[[[)))).........]]]]]..,.[[[[..(((((]]]].........)))))..,.......(((((.............)))))..,.[[[[.......]]]]................,9,5,4
119,PKB00201,29,..(((.[[[[[[[))).....]]]]]]].,..[[[.(((((((]]].....))))))).,......(((((((........))))))).,..[[[........]]].............,10,7,3
120,PKB00202,34,.((((...[[[[[[[)))).......]]]]]]].,.[[[[...(((((((]]]].......))))))).,........(((((((...........))))))).,.[[[[..........]]]]...............,11,7,4
121,PKB00204,29,.((((...[[[[[))))......]]]]].,.[[[[...(((((]]]]......))))).,........(((((..........))))).,.[[[[........]]]]............,9,5,4
122,PKB00205,48,.((..((.[[[[..))(((((....))).))..))........]]]].,.((..((.[[[[..))(((((....))).))..))........]]]].,.((..((.......))(((((....))).))..)).............,........[[[[...............................]]]].,13,9,4
123,PKB00206,45,...((((((.............[[[[[))))))....]]]]]...,...((((((.............[[[[[))))))....]]]]]...,...((((((..................))))))............,......................[[[[[..........]]]]]...,11,6,5
124,PKB00207,45,...((((((............[[[[[[))))))....]]]]]]..,...((((((............[[[[[[))))))....]]]]]]..,...((((((..................))))))............,.....................[[[[[[..........]]]]]]..,12,6,6
125,PKB00210,90,.((((((..(((....[[[[[[..))).((((((((((....)))))).((((....))))...)))).)))))).......]]]]]]..,.((((((..(((....[[[[[[..))).((((((((((....)))))).((((....))))...)))).)))))).......]]]]]]..,.((((((..(((............))).((((((((((....)))))).((((....))))...)))).))))))...............,................[[[[[[............................................................]]]]]]..,29,23,6
126,PKB00212,64,.((((..((((....)))).....[[[[.[[[[[))))((((.....))))..]]]]].]]]].,.[[[[..((((....)))).....((((.(((((]]]]((((.....))))..))))).)))).,.......((((....)))).....((((.(((((....((((.....))))..))))).)))).,.[[[[.............................]]]]..........................,21,17,4
127,PKB00213,45,.(((((...((((.[[[[[))))..))))).........]]]]].,.(((((...((((.[[[[[))))..))))).........]]]]].,.(((((...((((......))))..)))))...............,..............[[[[[....................]]]]].,14,9,5
128,PKB00216,45,.((((...(((((.[[[[[)))))..)))).........]]]]].,.((((...(((((.[[[[[)))))..)))).........]]]]].,.((((...(((((......)))))..))))...............,..............[[[[[....................]]]]].,14,9,5
129,PKB00217,73,.............(((((((((((...[[[[[[...)))))))))))...................]]]]]].,.............(((((((((((...[[[[[[...)))))))))))...................]]]]]].,.............(((((((((((............)))))))))))..........................,...........................[[[[[[.................................]]]]]].,17,11,6
130,PKB00218,72,............((((((.((((((....[[[[[[[))))))))))))...............]]]]]]]..,............((((((.((((((....[[[[[[[))))))))))))...............]]]]]]]..,............((((((.((((((...........))))))))))))........................,.............................[[[[[[[...........................]]]]]]]..,19,12,7
131,PKB00220,64,.((((..((((....)))).....[[[[.[[[[[)))).(((.....)))...]]]]].]]]].,.[[[[..((((....)))).....((((.(((((]]]].(((.....)))...))))).)))).,.......((((....)))).....((((.(((((.....(((.....)))...))))).)))).,.[[[[.............................]]]]..........................,20,16,4
132,PKB00221,45,.((((((...(((.[[[[[)))..)))))).........]]]]].,.((((((...(((.[[[[[)))..)))))).........]]]]].,.((((((...(((......)))..))))))...............,..............[[[[[....................]]]]].,14,9,5
133,PKB00224,43,.((((...((((.[[[[[))))..)))).........]]]]].,.((((...((((.[[[[[))))..)))).........]]]]].,.((((...((((......))))..))))...............,.............[[[[[...................]]]]].,13,8,5
134,PKB00226,64,.((((..((((....)))).....[[[[.[[[[.))))((((.....))))...]]]].]]]].,.[[[[..((((....)))).....((((.((((.]]]]((((.....))))...)))).)))).,.......((((....)))).....((((.((((.....((((.....))))...)))).)))).,.[[[[.............................]]]]..........................,20,16,4
135,PKB00227,44,.(((((...((((.[[[[[))))..)))))........]]]]].,.(((((...((((.[[[[[))))..)))))........]]]]].,.(((((...((((......))))..)))))..............,..............[[[[[...................]]]]].,14,9,5
136,PKB00229,67,..((((..((((....)))).....[[[[.[[[[.))))(((((.....)))))...]]]].]]]].,..[[[[..((((....)))).....((((.((((.]]]](((((.....)))))...)))).)))).,........((((....)))).....((((.((((.....(((((.....)))))...)))).)))).,..[[[[.............................]]]]............................,21,17,4
137,PKB00230,48,.((((.((((.((((.[[[[[)))))).)).)))).......]]]]].,.((((.((((.((((.[[[[[)))))).)).)))).......]]]]].,.((((.((((.((((......)))))).)).)))).............,................[[[[[.....................]]]]].,17,12,5
138,PKB00232,62,.(((..((((....))))......[[[.[[[[.)))..(((.....)))....]]]].]]].,.[[[..((((....))))......(((.((((.]]]..(((.....)))....)))).))).,......((((....))))......(((.((((......(((.....)))....)))).))).,.[[[.............................]]]..........................,17,14,3
139,PKB00233,71,............((((((.((((((....[[[[[[[))))))))))))...............]]]]]]].,............((((((.((((((....[[[[[[[))))))))))))...............]]]]]]].,............((((((.((((((...........)))))))))))).......................,.............................[[[[[[[...........................]]]]]]].,19,12,7
140,PKB00234,84,.((((((..(((...[[[.[[[..))).((..(((((((.(((....))).)))))))..)).)))))).......]]].]]].,.((((((..(((...[[[.[[[..))).((..(((((((.(((....))).)))))))..)).)))))).......]]].]]].,.((((((..(((............))).((..(((((((.(((....))).)))))))..)).))))))...............,...............[[[.[[[......................................................]]].]]].,27,21,6
141,PKB00235,77,((((((....[[[[[)))))).(((((.......)))))..........(((((((.........)))))))]]]]],((((((....[[[[[)))))).(((((.......)))))..........(((((((.........)))))))]]]]],((((((.........)))))).(((((.......)))))..........(((((((.........))))))).....,..........[[[[[.........................................................]]]]],23,18,5
142,PKB00237,96,.(((((..[[[[)))))......]]]].(((((((.(((((((((.((((.......))))......))))))))).)))).)))...........,.(((((..[[[[)))))......]]]].(((((((.(((((((((.((((.......))))......))))))))).)))).)))...........,.(((((......)))))...........(((((((.(((((((((.((((.......))))......))))))))).)))).)))...........,........[[[[...........]]]].....................................................................,29,25,4
143,PKB00238,84,.((((((((...((((((((...[[[[[.))))))))....))......((((......)))))))))).........]]]]].,.((((((((...((((((((...[[[[[.))))))))....))......((((......)))))))))).........]]]]].,.((((((((...((((((((.........))))))))....))......((((......))))))))))...............,.......................[[[[[..................................................]]]]].,25,20,5
144,PKB00240,41,..............((((.[[[[.))))........]]]].,..............((((.[[[[.))))........]]]].,..............((((......)))).............,...................[[[[.............]]]].,8,4,4
145,PKB00241,34,.(((((....[[[[[[)))))......]]]]]].,.[[[[[....((((((]]]]]......)))))).,..........((((((...........)))))).,.[[[[[..........]]]]].............,11,6,5
